Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Bathroom,Point Of Contact,Size-binned,Rent-binned,Furnished,Semi-Furnished,Unfurnished,Bachelors,Bachelors/Family,Family
2022-05-18,2,10000.0,1100,Ground out of 2,Super Area,Bandel,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-13,2,20000.0,800,1 out of 3,Super Area,"Phool Bagan, Kankurgachi",Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-16,2,17000.0,1000,1 out of 3,Super Area,Salt Lake City Sector 2,Kolkata,1,Contact Owner,Small,Low,0,1,0,0,1,0
2022-07-04,2,10000.0,800,1 out of 2,Super Area,Dumdum Park,Kolkata,1,Contact Owner,Small,Low,0,0,1,0,1,0
2022-05-09,2,7500.0,850,1 out of 2,Carpet Area,South Dum Dum,Kolkata,1,Contact Owner,Small,Low,0,0,1,1,0,0
2022-04-29,2,7000.0,600,Ground out of 1,Super Area,Thakurpukur,Kolkata,2,Contact Owner,Small,Low,0,0,1,0,1,0
2022-06-21,2,10000.0,700,Ground out of 4,Super Area,Malancha,Kolkata,2,Contact Agent,Small,Low,0,0,1,1,0,0
2022-06-21,1,5000.0,250,1 out of 2,Super Area,Malancha,Kolkata,1,Contact Agent,Small,Low,0,0,1,1,0,0
2022-06-07,2,26000.0,800,1 out of 2,Carpet Area,"Palm Avenue Kolkata, Ballygunge",Kolkata,2,Contact Agent,Small,Low,0,0,1,1,0,0
2022-06-20,2,10000.0,1000,1 out of 3,Carpet Area,Natunhat,Kolkata,2,Contact Owner,Small,Low,0,1,0,0,1,0
2022-05-23,3,25000.0,1200,1 out of 4,Carpet Area,"Action Area 1, Rajarhat Newtown",Kolkata,2,Contact Agent,Small,Low,0,1,0,0,1,0
2022-06-07,1,5000.0,400,1 out of 1,Carpet Area,Keshtopur,Kolkata,1,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-14,1,6500.0,250,1 out of 4,Carpet Area,"Tarulia, Keshtopur",Kolkata,1,Contact Owner,Small,Low,1,0,0,1,0,0
2022-05-09,1,5500.0,375,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,1,Contact Agent,Small,Low,0,0,1,0,1,0
2022-05-05,3,8500.0,900,Ground out of 2,Carpet Area,Paschim Barisha,Kolkata,2,Contact Owner,Small,Low,0,0,1,1,0,0
